Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Protein stable ID	Protein stable ID version	Gene name	Source of gene name
ENSMUSG00000046961	ENSMUSG00000046961.9	ENSMUST00000061274	ENSMUST00000061274.9	ENSMUSP00000055958	ENSMUSP00000055958.8	Gpr156	MGI Symbol
ENSMUSG00000046961	ENSMUSG00000046961.9	ENSMUST00000061274	ENSMUST00000061274.9	ENSMUSP00000055958	ENSMUSP00000055958.8	Gpr156	MGI Symbol
ENSMUSG00000024620	ENSMUSG00000024620.12	ENSMUST00000025522	ENSMUST00000025522.11	ENSMUSP00000025522	ENSMUSP00000025522.5	Pdgfrb	MGI Symbol
ENSMUSG00000024620	ENSMUSG00000024620.12	ENSMUST00000025522	ENSMUST00000025522.11	ENSMUSP00000025522	ENSMUSP00000025522.5	Pdgfrb	MGI Symbol
ENSMUSG00000024620	ENSMUSG00000024620.12	ENSMUST00000025522	ENSMUST00000025522.11	ENSMUSP00000025522	ENSMUSP00000025522.5	Pdgfrb	MGI Symbol
ENSMUSG00000024620	ENSMUSG00000024620.12	ENSMUST00000025522	ENSMUST00000025522.11	ENSMUSP00000025522	ENSMUSP00000025522.5	Pdgfrb	MGI Symbol
ENSMUSG00000024620	ENSMUSG00000024620.12	ENSMUST00000025522	ENSMUST00000025522.11	ENSMUSP00000025522	ENSMUSP00000025522.5	Pdgfrb	MGI Symbol
ENSMUSG00000024620	ENSMUSG00000024620.12	ENSMUST00000025522	ENSMUST00000025522.11	ENSMUSP00000025522	ENSMUSP00000025522.5	Pdgfrb	MGI Symbol
ENSMUSG00000024620	ENSMUSG00000024620.12	ENSMUST00000025522	ENSMUST00000025522.11	ENSMUSP00000025522	ENSMUSP00000025522.5	Pdgfrb	MGI Symbol
ENSMUSG00000024620	ENSMUSG00000024620.12	ENSMUST00000115274	ENSMUST00000115274.2	ENSMUSP00000110929	ENSMUSP00000110929.2	Pdgfrb	MGI Symbol
ENSMUSG00000024620	ENSMUSG00000024620.12	ENSMUST00000115274	ENSMUST00000115274.2	ENSMUSP00000110929	ENSMUSP00000110929.2	Pdgfrb	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000221596	ENSMUST00000221596.2	ENSMUSP00000152110	ENSMUSP00000152110.2	Ntsr2	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000221596	ENSMUST00000221596.2	ENSMUSP00000152110	ENSMUSP00000152110.2	Ntsr2	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000111064	ENSMUST00000111064.3	ENSMUSP00000106693	ENSMUSP00000106693.2	Ntsr2	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000111064	ENSMUST00000111064.3	ENSMUSP00000106693	ENSMUSP00000106693.2	Ntsr2	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000111064	ENSMUST00000111064.3	ENSMUSP00000106693	ENSMUSP00000106693.2	Ntsr2	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000111064	ENSMUST00000111064.3	ENSMUSP00000106693	ENSMUSP00000106693.2	Ntsr2	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000220892	ENSMUST00000220892.2	ENSMUSP00000152290	ENSMUSP00000152290.2	Ntsr2	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000220892	ENSMUST00000220892.2	ENSMUSP00000152290	ENSMUSP00000152290.2	Ntsr2	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000221049	ENSMUST00000221049.2	ENSMUSP00000152592	ENSMUSP00000152592.2	Ntsr2	MGI Symbol
ENSMUSG00000020591	ENSMUSG00000020591.12	ENSMUST00000221049	ENSMUST00000221049.2	ENSMUSP00000152592	ENSMUSP00000152592.2	Ntsr2	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000025523	ENSMUST00000025523.13	ENSMUSP00000025523	ENSMUSP00000025523.7	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000025523	ENSMUST00000025523.13	ENSMUSP00000025523	ENSMUSP00000025523.7	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000025523	ENSMUST00000025523.13	ENSMUSP00000025523	ENSMUSP00000025523.7	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000025523	ENSMUST00000025523.13	ENSMUSP00000025523	ENSMUSP00000025523.7	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000025523	ENSMUST00000025523.13	ENSMUSP00000025523	ENSMUSP00000025523.7	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000025523	ENSMUST00000025523.13	ENSMUSP00000025523	ENSMUSP00000025523.7	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000115268	ENSMUST00000115268.4	ENSMUSP00000110923	ENSMUSP00000110923.4	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000115268	ENSMUST00000115268.4	ENSMUSP00000110923	ENSMUSP00000110923.4	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000115268	ENSMUST00000115268.4	ENSMUSP00000110923	ENSMUSP00000110923.4	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000115268	ENSMUST00000115268.4	ENSMUSP00000110923	ENSMUSP00000110923.4	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000115268	ENSMUST00000115268.4	ENSMUSP00000110923	ENSMUSP00000110923.4	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000115268	ENSMUST00000115268.4	ENSMUSP00000110923	ENSMUSP00000110923.4	Csf1r	MGI Symbol
ENSMUSG00000024621	ENSMUSG00000024621.17	ENSMUST00000115268	ENSMUST00000115268.4	ENSMUSP00000110923	ENSMUSP00000110923.4	Csf1r	MGI Symbol
ENSMUSG00000056380	ENSMUSG00000056380.14	ENSMUST00000070449	ENSMUST00000070449.6	ENSMUSP00000064608	ENSMUSP00000064608.6	Gpr50	MGI Symbol
ENSMUSG00000056380	ENSMUSG00000056380.14	ENSMUST00000070449	ENSMUST00000070449.6	ENSMUSP00000064608	ENSMUSP00000064608.6	Gpr50	MGI Symbol
ENSMUSG00000056380	ENSMUSG00000056380.14	ENSMUST00000070449	ENSMUST00000070449.6	ENSMUSP00000064608	ENSMUSP00000064608.6	Gpr50	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000035283	ENSMUSG00000035283.6	ENSMUST00000038949	ENSMUST00000038949.6	ENSMUSP00000040847	ENSMUSP00000040847.5	Adrb1	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000036303	ENSMUST00000036303.9	ENSMUSP00000043936	ENSMUSP00000043936.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000036303	ENSMUST00000036303.9	ENSMUSP00000043936	ENSMUSP00000043936.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000036303	ENSMUST00000036303.9	ENSMUSP00000043936	ENSMUSP00000043936.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000036303	ENSMUST00000036303.9	ENSMUSP00000043936	ENSMUSP00000043936.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000036303	ENSMUST00000036303.9	ENSMUSP00000043936	ENSMUSP00000043936.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000036303	ENSMUST00000036303.9	ENSMUSP00000043936	ENSMUSP00000043936.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000036303	ENSMUST00000036303.9	ENSMUSP00000043936	ENSMUSP00000043936.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000036303	ENSMUST00000036303.9	ENSMUSP00000043936	ENSMUSP00000043936.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000096299	ENSMUST00000096299.9	ENSMUSP00000094021	ENSMUSP00000094021.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000096299	ENSMUST00000096299.9	ENSMUSP00000094021	ENSMUSP00000094021.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000096299	ENSMUST00000096299.9	ENSMUSP00000094021	ENSMUSP00000094021.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000096299	ENSMUST00000096299.9	ENSMUSP00000094021	ENSMUSP00000094021.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000096299	ENSMUST00000096299.9	ENSMUSP00000094021	ENSMUSP00000094021.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000096299	ENSMUST00000096299.9	ENSMUSP00000094021	ENSMUSP00000094021.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000096299	ENSMUST00000096299.9	ENSMUSP00000094021	ENSMUSP00000094021.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000096299	ENSMUST00000096299.9	ENSMUSP00000094021	ENSMUSP00000094021.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000096299	ENSMUST00000096299.9	ENSMUSP00000094021	ENSMUSP00000094021.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000156697	ENSMUST00000156697.8	ENSMUSP00000138772	ENSMUSP00000138772.2	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000156697	ENSMUST00000156697.8	ENSMUSP00000138772	ENSMUSP00000138772.2	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000112831	ENSMUST00000112831.3	ENSMUSP00000108450	ENSMUSP00000108450.3	Htr2c	MGI Symbol
ENSMUSG00000041380	ENSMUSG00000041380.14	ENSMUST00000112831	ENSMUST00000112831.3	ENSMUSP00000108450	ENSMUSP00000108450.3	Htr2c	MGI Symbol
ENSMUSG00000031289	ENSMUSG00000031289.11	ENSMUST00000033646	ENSMUST00000033646.9	ENSMUSP00000033646	ENSMUSP00000033646.3	Il13ra2	MGI Symbol
ENSMUSG00000031289	ENSMUSG00000031289.11	ENSMUST00000033646	ENSMUST00000033646.9	ENSMUSP00000033646	ENSMUSP00000033646.3	Il13ra2	MGI Symbol
ENSMUSG00000031289	ENSMUSG00000031289.11	ENSMUST00000112827	ENSMUST00000112827.2	ENSMUSP00000108446	ENSMUSP00000108446.2	Il13ra2	MGI Symbol
ENSMUSG00000031289	ENSMUSG00000031289.11	ENSMUST00000112827	ENSMUST00000112827.2	ENSMUSP00000108446	ENSMUSP00000108446.2	Il13ra2	MGI Symbol
ENSMUSG00000031340	ENSMUSG00000031340.9	ENSMUST00000064780	ENSMUST00000064780.4	ENSMUSP00000066543	ENSMUSP00000066543.4	Gabre	MGI Symbol
ENSMUSG00000031340	ENSMUSG00000031340.9	ENSMUST00000064780	ENSMUST00000064780.4	ENSMUSP00000066543	ENSMUSP00000066543.4	Gabre	MGI Symbol
ENSMUSG00000031340	ENSMUSG00000031340.9	ENSMUST00000064780	ENSMUST00000064780.4	ENSMUSP00000066543	ENSMUSP00000066543.4	Gabre	MGI Symbol
ENSMUSG00000031340	ENSMUSG00000031340.9	ENSMUST00000064780	ENSMUST00000064780.4	ENSMUSP00000066543	ENSMUSP00000066543.4	Gabre	MGI Symbol
ENSMUSG00000031340	ENSMUSG00000031340.9	ENSMUST00000064780	ENSMUST00000064780.4	ENSMUSP00000066543	ENSMUSP00000066543.4	Gabre	MGI Symbol
ENSMUSG00000031340	ENSMUSG00000031340.9	ENSMUST00000064780	ENSMUST00000064780.4	ENSMUSP00000066543	ENSMUSP00000066543.4	Gabre	MGI Symbol
ENSMUSG00000031340	ENSMUSG00000031340.9	ENSMUST00000064780	ENSMUST00000064780.4	ENSMUSP00000066543	ENSMUSP00000066543.4	Gabre	MGI Symbol
ENSMUSG00000031340	ENSMUSG00000031340.9	ENSMUST00000064780	ENSMUST00000064780.4	ENSMUSP00000066543	ENSMUSP00000066543.4	Gabre	MGI Symbol
ENSMUSG00000031340	ENSMUSG00000031340.9	ENSMUST00000064780	ENSMUST00000064780.4	ENSMUSP00000066543	ENSMUSP00000066543.4	Gabre	MGI Symbol
ENSMUSG00000069299	ENSMUSG00000069299.3	ENSMUST00000228243	ENSMUST00000228243.2	ENSMUSP00000154654	ENSMUSP00000154654.2	Vmn1r188	MGI Symbol
ENSMUSG00000069299	ENSMUSG00000069299.3	ENSMUST00000228243	ENSMUST00000228243.2	ENSMUSP00000154654	ENSMUSP00000154654.2	Vmn1r188	MGI Symbol
ENSMUSG00000069299	ENSMUSG00000069299.3	ENSMUST00000228243	ENSMUST00000228243.2	ENSMUSP00000154654	ENSMUSP00000154654.2	Vmn1r188	MGI Symbol
ENSMUSG00000069299	ENSMUSG00000069299.3	ENSMUST00000226680	ENSMUST00000226680.2	ENSMUSP00000153995	ENSMUSP00000153995.2	Vmn1r188	MGI Symbol
ENSMUSG00000069299	ENSMUSG00000069299.3	ENSMUST00000226680	ENSMUST00000226680.2	ENSMUSP00000153995	ENSMUSP00000153995.2	Vmn1r188	MGI Symbol
ENSMUSG00000069299	ENSMUSG00000069299.3	ENSMUST00000226680	ENSMUST00000226680.2	ENSMUSP00000153995	ENSMUSP00000153995.2	Vmn1r188	MGI Symbol
ENSMUSG00000069299	ENSMUSG00000069299.3	ENSMUST00000091739	ENSMUST00000091739.2	ENSMUSP00000089333	ENSMUSP00000089333.2	Vmn1r188	MGI Symbol
ENSMUSG00000069299	ENSMUSG00000069299.3	ENSMUST00000091739	ENSMUST00000091739.2	ENSMUSP00000089333	ENSMUSP00000089333.2	Vmn1r188	MGI Symbol
ENSMUSG00000069299	ENSMUSG00000069299.3	ENSMUST00000091739	ENSMUST00000091739.2	ENSMUSP00000089333	ENSMUSP00000089333.2	Vmn1r188	MGI Symbol
ENSMUSG00000099611	ENSMUSG00000099611.3	ENSMUST00000227357	ENSMUST00000227357.2	ENSMUSP00000153757	ENSMUSP00000153757.2	Vmn1r189	MGI Symbol
ENSMUSG00000099611	ENSMUSG00000099611.3	ENSMUST00000227357	ENSMUST00000227357.2	ENSMUSP00000153757	ENSMUSP00000153757.2	Vmn1r189	MGI Symbol
ENSMUSG00000099611	ENSMUSG00000099611.3	ENSMUST00000227357	ENSMUST00000227357.2	ENSMUSP00000153757	ENSMUSP00000153757.2	Vmn1r189	MGI Symbol
ENSMUSG00000099611	ENSMUSG00000099611.3	ENSMUST00000228428	ENSMUST00000228428.2	ENSMUSP00000154722	ENSMUSP00000154722.2	Vmn1r189	MGI Symbol
ENSMUSG00000099611	ENSMUSG00000099611.3	ENSMUST00000228428	ENSMUST00000228428.2	ENSMUSP00000154722	ENSMUSP00000154722.2	Vmn1r189	MGI Symbol
ENSMUSG00000099611	ENSMUSG00000099611.3	ENSMUST00000228428	ENSMUST00000228428.2	ENSMUSP00000154722	ENSMUSP00000154722.2	Vmn1r189	MGI Symbol
ENSMUSG00000099611	ENSMUSG00000099611.3	ENSMUST00000186062	ENSMUST00000186062.3	ENSMUSP00000140924	ENSMUSP00000140924.2	Vmn1r189	MGI Symbol
ENSMUSG00000099611	ENSMUSG00000099611.3	ENSMUST00000186062	ENSMUST00000186062.3	ENSMUSP00000140924	ENSMUSP00000140924.2	Vmn1r189	MGI Symbol
ENSMUSG00000099611	ENSMUSG00000099611.3	ENSMUST00000186062	ENSMUST00000186062.3	ENSMUSP00000140924	ENSMUSP00000140924.2	Vmn1r189	MGI Symbol
ENSMUSG00000095916	ENSMUSG00000095916.3	ENSMUST00000235950	ENSMUST00000235950.2	ENSMUSP00000158274	ENSMUSP00000158274.2	Vmn1r191	MGI Symbol
ENSMUSG00000095916	ENSMUSG00000095916.3	ENSMUST00000235950	ENSMUST00000235950.2	ENSMUSP00000158274	ENSMUSP00000158274.2	Vmn1r191	MGI Symbol
ENSMUSG00000095916	ENSMUSG00000095916.3	ENSMUST00000235950	ENSMUST00000235950.2	ENSMUSP00000158274	ENSMUSP00000158274.2	Vmn1r191	MGI Symbol
ENSMUSG00000095916	ENSMUSG00000095916.3	ENSMUST00000237107	ENSMUST00000237107.2	ENSMUSP00000158004	ENSMUSP00000158004.2	Vmn1r191	MGI Symbol
ENSMUSG00000095916	ENSMUSG00000095916.3	ENSMUST00000237107	ENSMUST00000237107.2	ENSMUSP00000158004	ENSMUSP00000158004.2	Vmn1r191	MGI Symbol
ENSMUSG00000095916	ENSMUSG00000095916.3	ENSMUST00000237107	ENSMUST00000237107.2	ENSMUSP00000158004	ENSMUSP00000158004.2	Vmn1r191	MGI Symbol
ENSMUSG00000095916	ENSMUSG00000095916.3	ENSMUST00000072369	ENSMUST00000072369.2	ENSMUSP00000072206	ENSMUSP00000072206.2	Vmn1r191	MGI Symbol
ENSMUSG00000095916	ENSMUSG00000095916.3	ENSMUST00000072369	ENSMUST00000072369.2	ENSMUSP00000072206	ENSMUSP00000072206.2	Vmn1r191	MGI Symbol
ENSMUSG00000095916	ENSMUSG00000095916.3	ENSMUST00000072369	ENSMUST00000072369.2	ENSMUSP00000072206	ENSMUSP00000072206.2	Vmn1r191	MGI Symbol
ENSMUSG00000099787	ENSMUSG00000099787.4	ENSMUST00000238109	ENSMUST00000238109.2	ENSMUSP00000157643	ENSMUSP00000157643.2	Vmn1r192	MGI Symbol
ENSMUSG00000099787	ENSMUSG00000099787.4	ENSMUST00000238109	ENSMUST00000238109.2	ENSMUSP00000157643	ENSMUSP00000157643.2	Vmn1r192	MGI Symbol
ENSMUSG00000099787	ENSMUSG00000099787.4	ENSMUST00000238109	ENSMUST00000238109.2	ENSMUSP00000157643	ENSMUSP00000157643.2	Vmn1r192	MGI Symbol
ENSMUSG00000099787	ENSMUSG00000099787.4	ENSMUST00000072632	ENSMUST00000072632.6	ENSMUSP00000072426	ENSMUSP00000072426.3	Vmn1r192	MGI Symbol
ENSMUSG00000099787	ENSMUSG00000099787.4	ENSMUST00000072632	ENSMUST00000072632.6	ENSMUSP00000072426	ENSMUSP00000072426.3	Vmn1r192	MGI Symbol
ENSMUSG00000099787	ENSMUSG00000099787.4	ENSMUST00000072632	ENSMUST00000072632.6	ENSMUSP00000072426	ENSMUSP00000072426.3	Vmn1r192	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000228303	ENSMUST00000228303.2	ENSMUSP00000154019	ENSMUSP00000154019.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000228303	ENSMUST00000228303.2	ENSMUSP00000154019	ENSMUSP00000154019.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000228303	ENSMUST00000228303.2	ENSMUSP00000154019	ENSMUSP00000154019.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000227457	ENSMUST00000227457.2	ENSMUSP00000154364	ENSMUSP00000154364.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000227457	ENSMUST00000227457.2	ENSMUSP00000154364	ENSMUSP00000154364.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000227457	ENSMUST00000227457.2	ENSMUSP00000154364	ENSMUSP00000154364.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000227562	ENSMUST00000227562.2	ENSMUSP00000154007	ENSMUSP00000154007.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000227562	ENSMUST00000227562.2	ENSMUSP00000154007	ENSMUSP00000154007.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000227562	ENSMUST00000227562.2	ENSMUSP00000154007	ENSMUSP00000154007.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000057516	ENSMUST00000057516.2	ENSMUSP00000058480	ENSMUSP00000058480.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000057516	ENSMUST00000057516.2	ENSMUSP00000058480	ENSMUSP00000058480.2	Vmn1r193	MGI Symbol
ENSMUSG00000046932	ENSMUSG00000046932.3	ENSMUST00000057516	ENSMUST00000057516.2	ENSMUSP00000058480	ENSMUSP00000058480.2	Vmn1r193	MGI Symbol
ENSMUSG00000069297	ENSMUSG00000069297.2	ENSMUST00000091737	ENSMUST00000091737.2	ENSMUSP00000089331	ENSMUSP00000089331.2	Vmn1r194	MGI Symbol
ENSMUSG00000069297	ENSMUSG00000069297.2	ENSMUST00000091737	ENSMUST00000091737.2	ENSMUSP00000089331	ENSMUSP00000089331.2	Vmn1r194	MGI Symbol
ENSMUSG00000069296	ENSMUSG00000069296.5	ENSMUST00000228711	ENSMUST00000228711.2	ENSMUSP00000154274	ENSMUSP00000154274.2	Vmn1r195	MGI Symbol
ENSMUSG00000069296	ENSMUSG00000069296.5	ENSMUST00000228711	ENSMUST00000228711.2	ENSMUSP00000154274	ENSMUSP00000154274.2	Vmn1r195	MGI Symbol
ENSMUSG00000069296	ENSMUSG00000069296.5	ENSMUST00000228711	ENSMUST00000228711.2	ENSMUSP00000154274	ENSMUSP00000154274.2	Vmn1r195	MGI Symbol
